#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.767341332 3.767341332 13.11033219 90 90 90 1.667803566 1.667803566 0.4792544701 90 90 90 3 3 0 4 0 0 120.335 25.1675 -7.32275 70.86125 0 0 109.84225 24.92125 -7.59325 20.735 0 0 1.5406 1.5406
#G3 1.633455573 0.2729017824 0.05668742311 -0.2775305199 1.644386529 0.006668203257 -0.1907050974 -0.0555544193 0.4758433757
#G4 0.6222687309 1.900637747 -0.2544904571 1.5406 5.087924711 -6.810713904 -35 -96.52617305 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.622269 1.90064 -0.25449
#P0 48.308 16 -6 70.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.743K  294.043K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
14 0.687925 1.87817 -0.226729  289.92 294.043 4874 1 0 1
14.13325 0.683576 1.87973 -0.228588  289.927 294.043 4877 1 0 2
14.26675 0.679215 1.8813 -0.230449  289.927 294.043 4879 1 0 1
14.4 0.674859 1.88284 -0.232305  289.918 294.043 4881 1 0 2
14.53325 0.670498 1.88438 -0.23416  289.925 294.043 4883 1 0 3
14.66675 0.666126 1.88591 -0.236017  289.925 294.043 4886 1 0 0
14.8 0.661759 1.88743 -0.237869  289.922 294.043 4888 1 0 2
14.93325 0.657388 1.88894 -0.23972  289.93 294.043 4890 1 0 1
15.06675 0.653005 1.89044 -0.241573  289.929 294.043 4893 1 0 3
15.2 0.648627 1.89193 -0.243421  289.923 294.043 4895 1 0 1
15.33325 0.644245 1.8934 -0.245268  289.928 294.043 4897 1 0 2
15.46675 0.639852 1.89487 -0.247118  289.928 294.043 4899 1 0 13
15.6 0.635463 1.89633 -0.248962  289.924 294.043 4902 1 0 3
15.73325 0.631071 1.89777 -0.250805  289.932 294.043 4904 1 0 9
15.86675 0.626668 1.89921 -0.25265  289.929 294.043 4906 1 0 14
16 0.622269 1.90064 -0.25449  289.926 294.043 4909 1 0 28
16.13325 0.617867 1.90205 -0.256329  289.931 294.043 4911 1 0 59
