
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.83075 2.97642 3.03228 -0.0180254  20.0293 51.2169 265642 2 0 5
24.86075 2.97798 3.03074 -0.0168277  20.028 51.2169 265645 2 0 6
24.89075 2.97955 3.0292 -0.0156301  20.0265 51.212 265648 2 0 5
24.92075 2.98112 3.02765 -0.0144324  20.0254 51.2092 265651 2 0 5
24.95075 2.98269 3.02611 -0.0132348  20.024 51.2078 265654 2 0 9
24.98075 2.98425 3.02457 -0.0120371  20.0229 51.2037 265657 2 0 11
25.01075 2.98582 3.02302 -0.0108395  20.0214 51.2002 265660 2 0 22
25.04075 2.98738 3.02148 -0.00964181  20.0202 51.1972 265663 2 0 30
25.07075 2.98894 3.01993 -0.00844415  20.0188 51.1957 265666 2 0 38
25.10075 2.9905 3.01839 -0.00724648  0 51.1941 265669 2 0 69
25.13075 2.99207 3.01684 -0.00604881  0 51.1909 265672 2 0 76
25.16075 2.99363 3.01529 -0.00485114  0 51.1877 265675 2 0 137
25.19075 2.99519 3.01374 -0.00365347  0 51.1832 265678 2 0 237
25.22075 2.99674 3.01219 -0.0024558  0 51.1811 265681 2 0 334
25.25075 2.9983 3.01064 -0.00125813  0 51.1797 265684 2 0 483
25.28075 2.99986 3.00909 -6.04521e-05  0 51.1765 265687 2 0 594
25.31075 3.00142 3.00754 0.00113722  0 51.1749 265690 2 0 753
25.34075 3.00297 3.00598 0.00233489  0 51.1724 265693 2 0 987
25.37075 3.00453 3.00443 0.00353257  0 51.1668 265696 2 0 1119
25.40075 3.00608 3.00288 0.00473024  0 51.1649 265699 2 0 1339
25.43075 3.00763 3.00132 0.00592791  0 51.1612 265702 2 0 1319
25.46075 3.00919 2.99976 0.00712558  0 51.1582 265705 2 0 1313
25.49075 3.01074 2.99821 0.00832324  0 51.1557 265708 2 0 1204
25.52075 3.01229 2.99665 0.00952091  0 51.1524 265711 2 0 1068
25.55075 3.01384 2.99509 0.0107186  0 51.1504 265714 2 0 818
25.58075 3.01539 2.99353 0.0119162  0 51.1453 265717 2 0 534
25.61075 3.01693 2.99197 0.0131139  0 51.144 265720 2 0 384
25.64075 3.01848 2.99041 0.0143115  0 51.1414 265723 2 0 217
25.67075 3.02003 2.98885 0.0155092  0 51.1384 265726 2 0 173
25.70075 3.02157 2.98728 0.0167068  0 51.1344 265729 2 0 98
25.73075 3.02312 2.98572 0.0179045  0 51.1331 265732 2 0 60
25.76075 3.02466 2.98415 0.0191021  0 51.1284 265735 2 0 50
25.79075 3.02621 2.98259 0.0202997  0 51.1276 265738 2 0 32
25.82075 3.02775 2.98102 0.0214974  0 51.1229 265741 2 0 31
25.85075 3.02929 2.97945 0.022695  0 51.1196 265744 2 0 20
25.88075 3.03083 2.97789 0.0238926  19.9942 51.1174 265747 2 0 12
25.91075 3.03237 2.97632 0.0250902  0 51.1153 265750 2 0 13
25.94075 3.03391 2.97475 0.0262878  0 51.1125 265753 2 0 7
25.97075 3.03545 2.97318 0.0274854  0 51.11 265756 2 0 11
26.00075 3.03698 2.97161 0.028683  0 51.1049 265759 2 0 5
26.03075 3.03852 2.97003 0.0298805  0 51.1033 265762 2 0 8

#S 56  a2scan  tth 119.299 122.299  th 24.6807 26.1807  60 2
#D Fri May 10 16:30:46 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  51.1033K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.68075 2.98501 2.97875 0.00588332  19.9967 51.0869 265778 2 0 1
119.3495 24.70575 2.98577 2.97951 0.00588482  19.9968 51.0852 265783 2 0 3
119.3995 24.73075 2.98653 2.98027 0.00588632  0 51.0778 265788 2 0 5
119.4495 24.75575 2.9873 2.98103 0.00588783  19.9973 51.0722 265793 2 0 7
119.4995 24.78075 2.98806 2.98179 0.00588932  19.9975 51.0697 265796 2 0 7
119.5495 24.80575 2.98882 2.98254 0.00589082  19.9976 51.0644 265801 2 0 16
119.5995 24.83075 2.98958 2.9833 0.00589232  19.9977 51.0612 265806 2 0 10
119.6495 24.85575 2.99034 2.98406 0.00589382  19.9979 51.0554 265810 2 0 11
119.6995 24.88075 2.99109 2.98482 0.00589531  19.998 51.0524 265815 2 0 13
119.7495 24.90575 2.99185 2.98557 0.0058968  19.998 51.0454 265820 2 0 22
119.7995 24.93075 2.99261 2.98633 0.0058983  19.9981 51.0411 265825 2 0 32
119.8495 24.95575 2.99337 2.98708 0.00589979  19.9982 51.0383 265828 2 0 49
119.8995 24.98075 2.99412 2.98784 0.00590128  19.9982 51.0329 265834 2 0 35
119.9495 25.00575 2.99488 2.98859 0.00590277  19.9985 51.026 265839 2 0 69
119.9995 25.03075 2.99563 2.98934 0.00590425  19.9986 51.023 265844 2 0 72
120.0495 25.05575 2.99639 2.9901 0.00590574  19.9986 51.0182 265849 2 0 75
120.0995 25.08075 2.99714 2.99085 0.00590723  19.9987 51.0124 265854 2 0 91
120.1495 25.10575 2.99789 2.9916 0.00590871  19.9987 51.0074 265859 2 0 134
120.1995 25.13075 2.99865 2.99235 0.0059102  19.9988 51.0037 265864 2 0 154
120.2495 25.15575 2.9994 2.9931 0.00591168  19.9988 50.9995 265869 2 0 206
120.2995 25.18075 3.00015 2.99385 0.00591316  19.9988 50.9936 265875 2 0 236
120.3495 25.20575 3.0009 2.9946 0.00591464  19.9991 50.9879 265880 2 0 307
120.3995 25.23075 3.00165 2.99535 0.00591612  19.9988 50.9835 265885 2 0 400
120.4495 25.25575 3.0024 2.9961 0.0059176  19.9992 50.978 265890 2 0 484
120.4995 25.28075 3.00315 2.99685 0.00591907  19.9992 50.9734 265895 2 0 605
120.5495 25.30575 3.0039 2.99759 0.00592055  0 50.9679 265900 2 0 767
120.5995 25.33075 3.00465 2.99834 0.00592202  19.9991 50.9636 265905 2 0 978
120.6495 25.35575 3.00539 2.99909 0.0059235  19.999 50.9585 265910 2 0 1029
120.6995 25.38075 3.00614 2.99983 0.00592497  19.9987 50.9539 265915 2 0 1161
120.7495 25.40575 3.00689 3.00058 0.00592644  0 50.9479 265921 2 0 1321
120.7995 25.43075 3.00763 3.00132 0.00592791  19.9989 50.9414 265926 2 0 1388
120.8495 25.45575 3.00838 3.00206 0.00592938  19.9989 50.9379 265931 2 0 1442
120.8995 25.48075 3.00912 3.00281 0.00593085  19.999 50.9348 265936 2 0 1255
120.9495 25.50575 3.00987 3.00355 0.00593231  19.9991 50.9287 265941 2 0 1159
120.9995 25.53075 3.01061 3.00429 0.00593378  0 50.9238 265946 2 0 1105
121.0495 25.55575 3.01135 3.00503 0.00593524  19.9991 50.919 265951 2 0 1017
121.0995 25.58075 3.0121 3.00577 0.0059367  19.9991 50.9129 265956 2 0 890
121.1495 25.60575 3.01284 3.00651 0.00593817  19.9992 50.9117 265961 2 0 846
121.1995 25.63075 3.01358 3.00725 0.00593963  19.9991 0 265966 2 0 653
121.2495 25.65575 3.01432 3.00799 0.00594109  19.9993 50.8986 265971 2 0 603
121.2995 25.68075 3.01506 3.00873 0.00594255  19.9993 50.896 265977 2 0 495
121.3495 25.70575 3.0158 3.00947 0.005944  19.9995 50.8893 265982 2 0 421
121.3995 25.73075 3.01654 3.01021 0.00594546  19.9994 50.8842 265987 2 0 344
121.4495 25.75575 3.01728 3.01094 0.00594692  19.9992 50.8804 265992 2 0 317
121.4995 25.78075 3.01801 3.01168 0.00594837  19.9993 50.8741 265997 2 0 219
121.5495 25.80575 3.01875 3.01242 0.00594982  19.9993 50.8708 266002 2 0 201
121.5995 25.83075 3.01949 3.01315 0.00595127  19.9995 50.8663 266007 2 0 162
121.6495 25.85575 3.02022 3.01388 0.00595272  19.9994 50.8595 266012 2 0 115
121.6995 25.88075 3.02096 3.01462 0.00595417  19.9992 50.8538 266018 2 0 89
121.7495 25.90575 3.02169 3.01535 0.00595562  19.9993 50.8504 266023 2 0 69
121.7995 25.93075 3.02243 3.01608 0.00595707  0 50.8458 266028 2 0 58
121.8495 25.95575 3.02316 3.01682 0.00595852  19.9994 50.8434 266033 2 0 39
121.8995 25.98075 3.0239 3.01755 0.00595996  19.9993 50.8364 266038 2 0 32
121.9495 26.00575 3.02463 3.01828 0.00596141  19.9994 50.8301 266043 2 0 23
121.9995 26.03075 3.02536 3.01901 0.00596285  0 50.8258 266048 2 0 18
122.0495 26.05575 3.02609 3.01974 0.00596429  19.9996 50.8206 266053 2 0 26
122.0995 26.08075 3.02682 3.02047 0.00596573  19.9994 50.8162 266059 2 0 15
122.1495 26.10575 3.02755 3.0212 0.00596717  19.9992 50.8118 266064 2 0 8
122.1995 26.13075 3.02828 3.02193 0.00596861  0 50.8045 266069 2 0 8
